Name of Restaurent ,Type of Cusine,Rating,Total No of Ratings,Cost,Landmark,Opening time,Current Status,Dine in availability,Takeaway type,Delivery availability,Location and Address,Description of the Restaurent,Restaurent Name,Rating,number-of-reviews,veg /Non- Veg
Las Tortas Mexican,Restaurant,4.5,287,,3353 Cambie Street,11:30AM,Closed,Dine-in,Takeaway,Delivery,,,,,,Non-Veg
The Story Cafe -,Restaurant,4.7,154,,2800 Sexsmith Road,9AM,Closed,Dine-in,Takeaway,Delivery,,,,,,Non-Veg
Miku Vancouver, Sushi,4.6,"4,201",Expensive,,11:30AM,Closed,,,,200 Granville St # 70 ú In the Granville Square,Sushi & sustainable seafood are served in a sophisticated setting with a patio & water views.,,,,Non-Veg
Blue Water Cafe,Seafood,4.6,"1,822",Too Expensive,,4:30PM,Closed,Dine-in,Takeaway,Delivery,1095 Hamilton St ú In Urban Systems,Destination in a heritage warehouse space offering sustainable seafood with innovative touches.,Blue Water Cafe,4.6,(1822),Non-Veg
Chambar Restaurant,Restaurant,4.4,"2,736",Expensive,,11:30AM,Closed,Dine-in,Takeaway,Delivery,568 Beatty St,"Chic exposed-brick space serving creative Belgian cuisine & sustainable seafood, plus beer & wine.",Chambar Restaurant,4.4,(2736),Non-Veg
Hawksworth Restaurant,Restaurant,4.4,907,Too Expensive,,11:30AM,Closed,,,,801 W Georgia St ú In the Rosewood Hotel Georgia,Inventive Pacific Northwest cuisine & extensive wine list served in the Rosewood Hotel Georgia.,Hawksworth Restaurant,4.4,(907),Non-Veg
Forage,Pacific Northwest,4.5,"1,250",Average Cost,,4PM,Closed,Dine-in,Takeaway,,1300 Robson St,"Farm-to-table bistro presenting creative, area-sourced plates, plus local beer & wine on tap.",Forage,4.5,(1250),Non-Veg
St Lawrence Restaurant,French,4.7,564,Expensive,,5PM,Closed,,,,269 Powell St,"Classic French dishes served for dinner in an intimate, casually elegant setting.",St Lawrence Restaurant,4.7,(564),Non-Veg
Botanist,Pacific Northwest,4.5,729,,1038 Canada Pl ú In the Fairmont Pacific Rim,,Temporarily closed,,,,,"Airy, high-end restaurant in the Fairmont Hotel offering modern Canadian cuisine, wine & cocktails.",Botanist,4.5,(729),Non-Veg
Hy's Steakhouse & Cocktail Bar,Steak,4.5,"1,226",Too Expensive,,11:30AM,Closed,,,,637 Hornby St ú Near the Vancouver Art Gallery,Long-time posh spot for Canadian steaks & cocktails in a traditional wood-paneled setting.,Hy's Steakhouse & Cocktail Bar,4.5,(1226),Non-Veg
Bao Bei,Chinese,4.5,728,Expensive,,,,,,,163 Keefer St,Stylish dining room for modern Chinese sharing plates & inventive cocktails.,Bao Bei,4.5,(728),Non-Veg
Cioppino's Mediterranean Grill,Mediterranean,4.6,364,Too Expensive,,12PM,Closed,Dine-in,Drive-through,Delivery,1133 Hamilton St,Classy setting with an open kitchen where a popular local chef offers seasonal Mediterranean fare.,Cioppino's Mediterranean Grill,4.6,(364),Non-Veg
The Acorn Restaurant,Vegetarian,4.5,"1,091",Expensive,,5:30PM,Closed,,,,3995 Main St,Stylish eatery offering ambitious vegetarian/vegan fare & a bar that's open late.,The Acorn Restaurant,4.5,(1091),Non-Veg
Au Comptoir,French,4.4,565,Average Cost,,8AM,Closed,Dine-in,Takeaway,Delivery,2278 W 4th Ave,"Charming all-day cafe serving French classics, plus a full brunch.",Au Comptoir,4.4,(565),Non-Veg
Boulevard Kitchen & Oyster Bar,Seafood,4.4,763,Too Expensive,,4PM,Closed,,,,845 Burrard St ú Near the Vancouver Art Gallery,"Sophisticated locale for high-end, locally sourced seafood dishes, brunch & artisanal cocktails.",Boulevard Kitchen & Oyster Bar,4.4,(763),Non-Veg
AnnaLena,Canadian,4.7,814,Expensive,,5PM,Closed,,,,1809 W 1st Ave,"Contemporary Canadian fare & creative cocktails are provided in a stylish, modern setting.",AnnaLena,4.7,(814),Non-Veg
Bauhaus Restaurant,German,4.4,716,Too Expensive,,5PM,Closed,,,,1 W Cordova St,"Housed in a historic building, this stylish outpost offers classic German dishes with a modern spin.",Bauhaus Restaurant,4.4,(716),Non-Veg
Ancora Waterfront Dining and Patio - False Creek,Seafood,4.4,638,Too Expensive,,12PM,Closed,Dine-in,Takeaway,Delivery,1600 Howe St #2,"Chic, bi-level space for seafood with West Coast, Latin & Japanese influences, plus water views.",Ancora Waterfront Dining and Patio - False Creek,4.4,(638),Non-Veg
Kissa Tanto,Fusion restaurant,4.6,711,Expensive,,5:30PM,Closed,,,,263 E Pender St,Italian-Japanese cuisine & cocktails served in a chic space inspired by 1960s Tokyo jazz cafes.,Kissa Tanto,4.6,(711),Non-Veg
L'Abattoir,Pacific Northwest,4.5,957,Expensive,,5PM,Closed,,,,217 Carrall St,"Industrial-chic setting for Pacific Northwest fare with a French touch, plus craft cocktails.",L'Abattoir,4.5,(957),Non-Veg
